codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta
49,8969,2025-03-20,DFD53GMNYW,56,934.21,CEX
43,8692,2025-03-20,WSEK6VU47B,30,284.74,EFE
48,6279,2025-03-20,KJYPNPR63H,82,932.69,EFE
30,4955,2025-03-20,4WN75T87YY,37,988.92,EFE
39,1254,2025-03-20,KS35APO0UU,4,271.99,EFE
50,3586,2025-03-20,8N7Y12X103,100,772.54,CEX
37,5259,2025-03-20,VBZ9YI39RT,19,785.44,CEX
48,5923,2025-03-20,0Q4VAZADH0,45,114.36,CEX
27,5489,2025-03-20,1TYQX3Q1L3,61,703.08,CEX
39,2107,2025-03-20,6KGQ43V70H,24,358.96,EFE
