codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta
35,3160,2025-03-17,DFD53GMNYW,95,372.44,CEX
29,6793,2025-03-17,WSEK6VU47B,3,784.51,CEX
32,5294,2025-03-17,KJYPNPR63H,66,365.04,CEX
32,4715,2025-03-17,4WN75T87YY,26,722.17,CEX
46,9215,2025-03-17,KS35APO0UU,57,312.13,CEX
38,4803,2025-03-17,8N7Y12X103,85,559.87,CEX
26,9629,2025-03-17,VBZ9YI39RT,10,448.8,EFE
48,4804,2025-03-17,0Q4VAZADH0,95,741.49,EFE
28,8531,2025-03-17,1TYQX3Q1L3,52,783.97,EFE
49,5352,2025-03-17,6KGQ43V70H,38,337.51,CEX
