codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta
35,3584,2025-03-18,DFD53GMNYW,30,693.99,CEX
30,4516,2025-03-18,WSEK6VU47B,81,758.03,CEX
27,1465,2025-03-18,KJYPNPR63H,44,399.73,EFE
42,8555,2025-03-18,4WN75T87YY,66,364.33,EFE
34,9826,2025-03-18,KS35APO0UU,70,112.3,EFE
29,1759,2025-03-18,8N7Y12X103,72,853.88,CEX
39,2197,2025-03-18,VBZ9YI39RT,95,377.41,EFE
32,3124,2025-03-18,0Q4VAZADH0,2,693.59,CEX
43,8617,2025-03-18,1TYQX3Q1L3,58,152.07,EFE
43,6360,2025-03-18,6KGQ43V70H,48,494.66,CEX
