codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta
33,2266,2025-03-19,DFD53GMNYW,59,824.6,EFE
43,5284,2025-03-19,WSEK6VU47B,99,800.89,EFE
43,6788,2025-03-19,KJYPNPR63H,6,514.49,CEX
31,9694,2025-03-19,4WN75T87YY,30,601.4,EFE
33,7837,2025-03-19,KS35APO0UU,32,764.09,EFE
44,5402,2025-03-19,8N7Y12X103,43,435.92,EFE
32,3490,2025-03-19,VBZ9YI39RT,4,880.13,CEX
34,9010,2025-03-19,0Q4VAZADH0,44,948.27,EFE
49,3352,2025-03-19,1TYQX3Q1L3,43,824.39,EFE
34,4403,2025-03-19,6KGQ43V70H,1,775.3,CEX
