codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio
68,3073,Tafí Viejo,Tucumán,I,Cliente_0,88624044,Empresa_0,Dirección_0,MI,805-400-3848,2023-01-01,ver,70.185084,84.143819,CEX,2476.3,HOTEL
71,8380,Villa María,Córdoba,I,Cliente_1,40393137,Empresa_1,Dirección_1,SA,500-261-5034,2023-01-01,ver,6.774825,-155.966325,CEX,7193.34,RECREATIONAL
64,8239,Bahía Blanca,Buenos Aires,A,Cliente_2,40335712,Empresa_2,Dirección_2,SA,636-424-5616,2023-01-01,ver,8.933835,-60.632943,CEX,6954.64,KIOSK
51,2942,Santa Fe,Santa Fe,A,Cliente_3,47188876,Empresa_3,Dirección_3,JU,601-722-9169,2023-01-01,ver,-69.267506,-151.174552,EFE,8716.92,SHOPPING
74,1798,San Francisco,Córdoba,A,Cliente_4,76549231,Empresa_4,Dirección_4,LU,953-901-4908,2023-01-01,ver,27.884169,22.23203,EFE,9467.63,PETROL
53,5279,Yerba Buena,Tucumán,A,Cliente_5,81604243,Empresa_5,Dirección_5,MA,602-491-4952,2023-01-01,ver,-40.266073,-52.075923,EFE,9043.92,TEA
67,4227,Rosario,Buenos Aires,A,Cliente_6,19360450,Empresa_6,Dirección_6,MA,129-822-5268,2023-01-01,ver,72.477261,176.688281,EFE,1774.57,KIOSK
52,7848,Bahía Blanca,Buenos Aires,A,Cliente_7,80433523,Empresa_7,Dirección_7,LU,275-454-5604,2023-01-01,ver,-87.751408,168.047454,CEX,1573.58,HOTEL
69,9606,Ciudad Autónoma de Buenos Aires,Buenos Aires,I,Cliente_8,38732362,Empresa_8,Dirección_8,MA,543-720-1452,2023-01-01,ver,34.572268,91.215049,EFE,784.2,HOTEL
75,4902,Río Cuarto,Córdoba,A,Cliente_9,70223745,Empresa_9,Dirección_9,DO,316-155-8690,2023-01-01,ver,55.221391,-147.838495,CEX,5463.75,PETROL
