codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio
54,1268,Rafaela,Santa Fe,A,Cliente_0,66347011,Empresa_0,Dirección_0,MI,267-345-3049,2023-01-01,ver,-76.163976,-69.554778,EFE,6332.77,TEA
60,3139,Córdoba,Córdoba,I,Cliente_1,35406210,Empresa_1,Dirección_1,DO,385-895-1870,2023-01-01,ver,-7.215502,13.203406,EFE,648.52,MAKRO
61,4653,San Miguel de Tucumán,Tucumán,I,Cliente_2,74342199,Empresa_2,Dirección_2,JU,785-117-4272,2023-01-01,ver,44.253731,62.697011,CEX,2164.81,PETROL
64,7059,San Rafael,Mendoza,A,Cliente_3,66899321,Empresa_3,Dirección_3,MI,236-960-4459,2023-01-01,ver,62.099551,-138.477642,EFE,3344.14,RECREATIONAL
55,7346,Venado Tuerto,Santa Fe,A,Cliente_4,90597527,Empresa_4,Dirección_4,LU,243-474-8320,2023-01-01,ver,73.724748,82.810047,CEX,8233.62,RECREATIONAL
53,4703,Santa Fe,Santa Fe,A,Cliente_5,65410063,Empresa_5,Dirección_5,VI,845-613-6467,2023-01-01,ver,74.34388,-62.751711,CEX,6790.56,KIOSK
59,8362,Ciudad Autónoma de Buenos Aires,Buenos Aires,A,Cliente_6,39511579,Empresa_6,Dirección_6,JU,935-672-4333,2023-01-01,ver,23.07268,77.846956,EFE,8125.07,HORECA
55,8181,Maipú,Mendoza,A,Cliente_7,87871476,Empresa_7,Dirección_7,LU,543-185-6030,2023-01-01,ver,-57.899469,-152.055482,EFE,9552.3,RESTAURANTE
59,8003,San Miguel de Tucumán,Tucumán,I,Cliente_8,79478562,Empresa_8,Dirección_8,JU,891-509-9054,2023-01-01,ver,61.261807,-27.101231,CEX,2958.01,HORECA
72,8486,Córdoba,Córdoba,A,Cliente_9,69856426,Empresa_9,Dirección_9,MA,969-703-6149,2023-01-01,ver,17.308985,71.443257,EFE,4606.19,RESTAURANTE
