codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta
57,9288,2025-03-21,DFD53GMNYW,2,329.23,EFE
72,9393,2025-03-21,WSEK6VU47B,64,539.35,CEX
70,2951,2025-03-21,KJYPNPR63H,13,514.75,CEX
68,1398,2025-03-21,4WN75T87YY,98,315.72,EFE
71,6617,2025-03-21,KS35APO0UU,59,574.42,CEX
70,1760,2025-03-21,8N7Y12X103,6,398.58,CEX
71,9208,2025-03-21,VBZ9YI39RT,75,698.64,CEX
73,6781,2025-03-21,0Q4VAZADH0,72,385.07,EFE
70,6328,2025-03-21,1TYQX3Q1L3,96,124.16,CEX
70,5263,2025-03-21,6KGQ43V70H,63,464.76,CEX
