codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta
54,1268,2025-03-19,DFD53GMNYW,40,216.07,EFE
60,3139,2025-03-19,WSEK6VU47B,85,468.47,EFE
61,4653,2025-03-19,KJYPNPR63H,12,651.32,CEX
64,7059,2025-03-19,4WN75T87YY,54,123.02,EFE
55,7346,2025-03-19,KS35APO0UU,40,391.45,CEX
53,4703,2025-03-19,8N7Y12X103,62,616.87,CEX
59,8362,2025-03-19,VBZ9YI39RT,85,181.28,EFE
55,8181,2025-03-19,0Q4VAZADH0,70,692.59,EFE
59,8003,2025-03-19,1TYQX3Q1L3,51,731.85,CEX
72,8486,2025-03-19,6KGQ43V70H,44,315.04,EFE
