codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta
68,3073,2025-03-18,DFD53GMNYW,64,516.02,CEX
71,8380,2025-03-18,WSEK6VU47B,85,238.55,CEX
64,8239,2025-03-18,KJYPNPR63H,55,682.44,CEX
51,2942,2025-03-18,4WN75T87YY,92,470.7,EFE
74,1798,2025-03-18,KS35APO0UU,88,153.92,EFE
53,5279,2025-03-18,8N7Y12X103,73,226.31,EFE
67,4227,2025-03-18,VBZ9YI39RT,34,752.38,EFE
52,7848,2025-03-18,0Q4VAZADH0,51,684.86,CEX
69,9606,2025-03-18,1TYQX3Q1L3,59,391.21,EFE
75,4902,2025-03-18,6KGQ43V70H,86,928.29,CEX
