codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta
61,2713,2025-03-20,DFD53GMNYW,66,473.98,CEX
73,3983,2025-03-20,WSEK6VU47B,40,308.63,CEX
53,5078,2025-03-20,KJYPNPR63H,48,310.68,CEX
53,2636,2025-03-20,4WN75T87YY,96,435.52,CEX
69,8210,2025-03-20,KS35APO0UU,22,266.16,EFE
54,9410,2025-03-20,8N7Y12X103,21,902.63,EFE
53,7411,2025-03-20,VBZ9YI39RT,36,413.67,CEX
56,2789,2025-03-20,0Q4VAZADH0,46,414.02,CEX
66,6792,2025-03-20,1TYQX3Q1L3,83,406.7,CEX
58,8955,2025-03-20,6KGQ43V70H,33,176.73,EFE
