codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio
36,4283,La Plata,Buenos Aires,A,Cliente_0,84189185,Empresa_0,Dirección_0,DO,323-296-7399,2023-01-01,ver,-64.272358,13.286645,CEX,6200.81,SHOPPING
35,1660,Banda del Río Salí,Tucumán,A,Cliente_1,28581991,Empresa_1,Dirección_1,JU,851-931-8999,2023-01-01,ver,29.292815,131.40164,EFE,9224.39,KIOSK
33,4971,Santa Fe,Santa Fe,A,Cliente_2,38968499,Empresa_2,Dirección_2,VI,796-351-1318,2023-01-01,ver,-15.748112,104.720332,EFE,9584.04,HOTEL
34,8432,Banda del Río Salí,Tucumán,A,Cliente_3,50930045,Empresa_3,Dirección_3,DO,828-675-9982,2023-01-01,ver,8.150082,-62.316664,EFE,483.95,HORECA
38,3424,Yerba Buena,Tucumán,A,Cliente_4,51238018,Empresa_4,Dirección_4,SA,670-807-9508,2023-01-01,ver,80.911952,-131.370573,CEX,6866.12,RESTAURANTE
28,8678,Venado Tuerto,Santa Fe,A,Cliente_5,20768435,Empresa_5,Dirección_5,MI,815-590-2158,2023-01-01,ver,-25.233004,-0.061657,EFE,3341.32,RESTAURANTE
27,2039,Río Cuarto,Córdoba,A,Cliente_6,77391076,Empresa_6,Dirección_6,LU,625-235-8350,2023-01-01,ver,21.841839,-35.038496,CEX,6493.65,TEA
29,6879,San Francisco,Córdoba,A,Cliente_7,65255698,Empresa_7,Dirección_7,VI,270-254-8959,2023-01-01,ver,-87.562744,160.450986,CEX,7523.07,SHOPPING
36,2793,Jesús María,Córdoba,A,Cliente_8,15252838,Empresa_8,Dirección_8,DO,276-642-8649,2023-01-01,ver,17.572365,-175.88877,CEX,5873.66,GROCERY
48,8667,Villa María,Córdoba,A,Cliente_9,84021678,Empresa_9,Dirección_9,DO,766-263-6148,2023-01-01,ver,74.213054,-144.791599,EFE,1337.77,HOTEL
